time_bin,avg_turns,p90_turns,p95_turns,session_count
2898000,1.0208675649030563,1.0,1.0,6086
2901600,1.0877371273712737,1.0,2.0,2952
2905200,1.103086014445174,1.0,2.0,3046
2908800,1.1709154113557358,2.0,2.0,1726
2912400,1.37292817679558,2.0,2.0,724
2916000,1.0453728661275832,1.0,1.0,2226
2919600,1.2958199356913183,1.0,2.0,622
2923200,1.0858403529883673,1.0,2.0,2493
2926800,1.0677896466721446,1.0,2.0,2434
2930400,1.1947608200455582,2.0,2.0,878
2934000,1.2317262830482114,2.0,2.0,643
2937600,1.4771784232365146,1.0,2.0,241
2941200,1.2022684310018903,1.0,1.0,529
2962800,1.0,1.0,1.0,1
2966400,177.0,177.0,177.0,1
2973600,1.7269938650306749,2.0,3.0,326
2977200,1.0700557966522009,1.0,2.0,3226
2980800,1.019150707743547,1.0,1.0,4804
2984400,1.0317710680486705,1.0,1.0,4438
2988000,1.2270351008215086,2.0,2.0,1339
2991600,1.2050237610319077,2.0,2.0,1473
2995200,1.9856887298747763,2.0,2.0,559
3002400,1.1157270029673592,1.0,1.0,674
3006000,1.0385843533794572,1.0,1.0,3758
3009600,1.0358191426893717,1.0,1.0,3406
3013200,1.1153071500503524,1.0,2.0,1986
3016800,1.0643604183427193,1.0,2.0,2486
3020400,1.0921717171717171,1.0,1.0,1584
3024000,1.0310650887573964,1.0,1.0,2028
3027600,1.0176954732510288,1.0,1.0,2430
3031200,1.0622775800711743,1.0,1.0,562
3034800,1.2521739130434784,1.0,1.0,345
3052800,1.041025641025641,1.0,1.0,585
3056400,1.101139601139601,1.0,2.0,1404
3060000,2.197530864197531,1.0,2.0,243
3063600,1.0192568483862219,1.0,1.0,11061
3067200,1.090871878837495,1.0,1.0,2443
3070800,1.085,1.0,2.0,200
3074400,1.0597514340344167,1.0,2.0,4184
3078000,1.3611111111111112,1.0,2.0,1260
3081600,16.0,34.6,38.3,3
3085200,1.160217983651226,1.0,2.0,1835
3088800,1.35929203539823,1.0,2.0,565
3092400,1.1398891966759004,1.0,2.0,722
3096000,1.4637931034482758,1.0,1.0,580
3099600,1.6158357771260996,1.0,1.0,341
3103200,1.043351548269581,1.0,1.0,2745
3106800,2.0,2.0,3.0,195
3110400,1.5770750988142292,1.0,2.0,253
3117600,1.355,1.0,1.0,200
3135600,2.9306930693069306,1.0,1.0,101
3142800,1.675,3.1000000000000014,4.0,40
3146400,2.2421052631578946,2.0,3.0,190
3150000,1.7243589743589745,1.0,2.0,312
3153600,1.0237375264590263,1.0,1.0,6614
3157200,1.2556521739130435,1.0,1.0,575
3160800,1.4231311706629055,1.0,2.0,709
3164400,19.0,55.5,84.75,16
3168000,52.6,143.60000000000002,178.79999999999995,5
3171600,4.715686274509804,1.0,1.0,102
3178800,4.3478260869565215,8.600000000000009,21.599999999999966,69
3182400,1.6131868131868132,2.0,3.0,455
3186000,1.272,2.0,2.0,1000
3189600,129.0,305.8,343.4,3
3218400,26.0,26.0,26.0,1
3225600,140.0,140.0,140.0,1
3229200,7.375,18.099999999999994,27.549999999999986,8
3232800,75.6,223.60000000000002,295.79999999999995,5
3243600,1.76036866359447,1.0,2.0,217
3247200,2.1768595041322314,1.0,2.0,605
3261600,1.0617886178861788,1.0,2.0,1230
3265200,1.220825852782765,1.0,1.0,557
3268800,6.7368421052631575,2.0,12.599999999999774,19
3272400,1.325,1.0,1.0,360
3276000,7.55,1.0,7.550000000000093,20
3279600,1.81496062992126,1.0,2.0,254
3301200,7.0,7.0,7.0,1
3308400,14.0,14.0,14.0,1
3315600,94.0,94.0,94.0,1
3319200,3.823529411764706,1.0,1.0,102
3337200,1.3341645885286784,1.0,2.0,401
3340800,441.0,441.0,441.0,1
3351600,85.0,85.0,85.0,1
3355200,137.0,244.20000000000002,257.59999999999997,2
3366000,13.5,30.799999999999983,64.39999999999995,8
3369600,57.0,57.0,57.0,1
3376800,26.5,42.1,44.05,2
3384000,3.0,3.0,3.0,1
3391200,1.0,1.0,1.0,1
3398400,90.0,90.0,90.0,1
3405600,4.0,6.1000000000000005,6.549999999999999,4
3409200,59.0,105.4,111.19999999999999,2
3412800,191.0,191.0,191.0,1
3423600,18.0,42.299999999999976,84.64999999999993,8
3427200,6.625,15.600000000000009,20.349999999999998,32
3430800,10.148148148148149,13.00000000000001,48.19999999999997,27
3434400,6.0,13.0,14.499999999999998,3
3438000,137.14285714285714,389.4000000000003,649.1999999999994,7
3474000,5.0,5.0,5.0,1
3477600,120.0,120.0,120.0,1
3488400,42.0,42.0,42.0,1
3492000,9.214285714285714,25.900000000000002,44.89999999999996,28
3495600,19.4,48.99999999999996,98.49999999999989,10
3499200,1.7433628318584071,2.0,4.3999999999999915,113
3502800,1.2339252908756888,1.0,2.0,1633
3510000,1.1978171896316507,2.0,2.0,1466
3513600,1.175417661097852,2.0,2.0,1676
3517200,1.1838500360490267,2.0,2.0,1387
3520800,1.1093959731543623,1.0,1.5499999999999545,1490
3524400,1.0364208633093526,1.0,1.0,4448
3528000,1.1039870689655173,1.0,2.0,1856
3531600,1.0967523680649527,1.0,2.0,1478
3535200,1.0536031238906638,1.0,2.0,2817
3538800,1.0709561034275406,1.0,1.0,1663
3542400,1.089655172413793,1.0,1.0,870
3546000,1.0278810408921932,1.0,1.0,1614
3549600,1.0014113219382155,1.0,1.0,6377
3553200,1.0098199672667758,1.0,1.0,3055
3571200,119.0,119.0,119.0,1
3574800,1.3447098976109215,1.0,2.0,293
3578400,1.1440349175557711,2.0,2.0,2062
3582000,1.0279567940455658,1.0,1.0,11017
3585600,1.0253040408003138,1.0,1.0,5098
3589200,1.0756501182033098,1.0,1.0,1692
3592800,1.0698254364089776,1.0,1.0,2807
3596400,1.7597173144876326,2.0,3.0,283
3600000,1.0909712722298222,1.0,2.0,2924
3603600,3.099099099099099,2.0,5.0,222
3610800,2.375,1.0,2.4499999999999744,80
3614400,1.6125,1.0,1.0,320
3618000,1.0436824800375764,1.0,1.0,2129
3621600,1.0460460460460461,1.0,1.0,2997
3625200,1.111304347826087,1.0,2.0,575
3628800,1.15995115995116,1.0,2.0,819
3632400,1.0086580086580086,1.0,1.0,2079
3636000,1.0163300386764074,1.0,1.0,2327
3654000,12.0,12.0,12.0,1
3657600,318.0,318.0,318.0,1
3664800,1.275,1.0,2.0,600
3668400,1.0970272502064409,1.0,2.0,2422
3672000,1.0317416505658294,1.0,1.0,3623
3675600,1.0236945366737096,1.0,1.0,6626
3679200,1.0799764775066156,1.0,2.0,3401
3682800,1.1264973646382368,1.0,2.0,2087
3686400,1.1712328767123288,1.0,2.0,1752
3690000,1.0802579720530276,1.0,2.0,2791
3693600,1.0621833256563795,1.0,2.0,2171
3697200,1.4539170506912442,1.0,2.0,434
3700800,1.1455078125,2.0,2.0,1024
3704400,1.1043663471778489,1.0,2.0,1878
